"","X","Covered_Recipient_Type","Teaching_Hospital_CCN","Teaching_Hospital_ID","Teaching_Hospital_Name","Recipient_Primary_Business_Street_Address_Line1","Recipient_Primary_Business_Street_Address_Line2","Recipient_City","Recipient_State","Recipient_Zip_Code","Submitting_Applicable_Manufacturer_or_Applicable_GPO_Name","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Country","Total_Amount_of_Payment_USDollars","Date_of_Payment","Number_of_Payments_Included_in_Total_Amount","Form_of_Payment_or_Transfer_of_Value","Nature_of_Payment_or_Transfer_of_Value","City_of_Travel","State_of_Travel","Country_of_Travel","Physician_Ownership_Indicator","Third_Party_Payment_Recipient_Indicator","Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value","Charity_Indicator","Third_Party_Equals_Covered_Recipient_Indicator","Contextual_Information","Delay_in_Publication_Indicator","Record_ID","Product_Indicator","Name_of_Associated_Covered_Drug_or_Biological1","Name_of_Associated_Covered_Drug_or_Biological2","Name_of_Associated_Covered_Drug_or_Biological3","Name_of_Associated_Covered_Drug_or_Biological4","Name_of_Associated_Covered_Drug_or_Biological5","NDC_of_Associated_Covered_Drug_or_Biological1","NDC_of_Associated_Covered_Drug_or_Biological2","NDC_of_Associated_Covered_Drug_or_Biological3","NDC_of_Associated_Covered_Drug_or_Biological4","NDC_of_Associated_Covered_Drug_or_Biological5","Name_of_Associated_Covered_Device_or_Medical_Supply1","Name_of_Associated_Covered_Device_or_Medical_Supply2","Name_of_Associated_Covered_Device_or_Medical_Supply3","Name_of_Associated_Covered_Device_or_Medical_Supply4","Name_of_Associated_Covered_Device_or_Medical_Supply5","address","lon","lat"
"1",1,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE Pacific St","","Seattle","WA","98195","EMD Millipore Corporation",100000005624,"EMD Millipore Corporation","MA","United States",45.33,"12/16/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","No","","","No",105374944,"Non-covered","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"2",2,"Covered Recipient Teaching Hospital",500005,1026,"Virginia Mason Medical Center","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",400,"11/13/2013",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102307974,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"3",3,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE Pacific St","","Seattle","WA","98195","EMD Millipore Corporation",100000005624,"EMD Millipore Corporation","MA","United States",24.51,"10/03/2013",1,"In-kind items and services","Food and Beverage","","","",NA,"No Third Party Payment","","","","","No",105375582,"Non-covered","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"4",4,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","1959 NE Pacific St","","Seattle","WA","98195","Hu-Friedy Mfg. Co., LLC",100000005588,"Hu-Friedy Mfg. Co., LLC","IL","United States",49.13,"11/05/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","","","","No",105371146,"Covered","","","","",NA,"","","",NA,NA,"Diagnostic","",NA,NA,NA,"1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"5",5,"Covered Recipient Teaching Hospital",500008,1039,"University of Washington","1959 NE PACIFIC ST BOX 356515","","SEATTLE","WA","98195","Olympus Corporation of the Americas",100000000173,"Olympus Corporation of the Americas","PA","United States",5000,"09/18/2013",1,"Cash or cash equivalent","Grant","","","",NA,"No Third Party Payment","","","","","No",104189602,"Covered","","","","",NA,"","","",NA,NA,"ENT Products","",NA,NA,NA,"1959 NE PACIFIC ST BOX 356515, SEATTLE, WA 98195",-122.3084023,47.6508882
"6",6,"Covered Recipient Teaching Hospital",500008,1039,"University Of Washington","4311 11TH AVE","STE 500","SEATTLE","WA","98105","Salix Pharmaceuticals, Ltd",100000010796,"Salix Pharmaceuticals, Ltd","NC","United States",5513,"08/16/2013",1,"Cash or cash equivalent","Royalty or License","","","",NA,"No Third Party Payment","","","","","No",104024454,"None","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"4311 11TH AVE, SEATTLE, WA 98105",-122.3169304,47.6604405
"7",7,"Covered Recipient Teaching Hospital",500129,1031,"MULTICARE HEALTH SYSTEM","315 Martin Luther King Jr Way","","Tacoma","WA","98405","FUJIFILM SonoSite, Inc.",100000005703,"FUJIFILM SonoSite, Inc.","WA","United States",51,"09/24/2013",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","","","","No",102123860,"Covered","","","","",NA,"","","",NA,NA,"SONOSITE MAXX SERIES ULTRASOUND SYSTEM","",NA,NA,NA,"315 Martin Luther King Jr Way, Tacoma, WA 98405",-122.4529682,47.2593601
"8",8,"Covered Recipient Teaching Hospital",500005,1026,"Virginia Mason Medical Center","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",640,"11/13/2013",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",102307976,"Covered","","","","",NA,"","","",NA,NA,"Controls","",NA,NA,NA,"925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"9",9,"Covered Recipient Teaching Hospital",500008,1039,"University of Washington","1959 NE Pacific Street","","Seattle","WA","98195","AbbVie, Inc.",100000000204,"AbbVie, Inc.","IL","United States",38000,"11/15/2013",1,"Cash or cash equivalent","Grant","","","",NA,"No Third Party Payment","","","","","No",104719856,"None","","","","",NA,"","","",NA,NA,"","",NA,NA,NA,"1959 NE Pacific Street, Seattle, WA 98195",-122.3091341,47.6506935
"10",10,"Covered Recipient Teaching Hospital",500027,1024,"Swedish Health Services","747 Broadway","","Seattle","WA","98122","KARLSTORZ Endoscopy-America",100000005515,"KARLSTORZ Endoscopy-America","CA","United States",6177,"08/28/2013",1,"In-kind items and services","Education","","","",NA,"No Third Party Payment","","","","","No",102105562,"Covered","","","","",NA,"","","",NA,NA,"ANESTHESIOLOGY","",NA,NA,NA,"747 Broadway, Seattle, WA 98122",-122.3220878,47.6088589
