Drug.Name,Drug.Sales
Abilify,6460215394.00
Nexium,6135667614.00
Humira,5549996855.00
Crestor,5310818889.00
Cymbalta,5219860418.00
Advair Diskus,5121312668.00
Enbrel,4681201645.00
Remicade,4098233242.00
Copaxone,3697182238.00
Neulasta,3580364758.00
Rituxan,3288614045.00
Lantus Solostar,3005681663.00
Spiriva Handihaler,2998207542.00
Atripla,2856818557.00
Januvia,2843496907.00
Avastin,2688414938.00
Lantus,2556825619.00
Oxycontin,2534909675.00
Lyrica,2415254835.00
Epogen,2280696834.00
Celebrex,2237658764.00
Truvada,2235712145.00
Diovan,2169819482.00
Herceptin,1938804857.00
Gleevec,1896982614.00
Lucentis,1859463484.00
Namenda,1856822750.00
Vyvanse,1743115521.00
Zetia,1710526476.00
Symbicort,1563242161.00
Levemir,1547629745.00
Suboxone,1450554130.00
Novolog Flexpen,1377221614.00
Novolog,1349403122.00
Avonex,1240754136.00
Seroquel Xr,1226532019.00
Viagra,1196812385.00
Alimta,1192134813.00
Humalog,1184189487.00
Nasonex,1137402455.00
Victoza 3-Pak,1104811637.00
Cialis,1086355583.00
Gilenya,1059346323.00
Flovent Hfa,1050009900.00
Procrit,1030419958.00
Isentress,1014678055.00
Xarelto,996441091.00
Prezista,992087940.00
Janumet,987663598.00
Stelara,965072892.00
Neupogen,958807372.00
Orencia,957680500.00
Renvela,955330199.00
Reyataz,934879388.00
Vesicare,933311254.00
Dexilant,916401204.00
Tecfidera,879673483.00
Humalog Kwikpen,879632962.00
Synthroid,858725708.00
Vytorin,858576112.00
Lunesta,851791226.00
Pradaxa,836573805.00
Benicar,832276970.00
Evista,823647433.00
Xolair,821783471.00
Aranesp,809245700.00
Prevnar 13,806129346.00
Sensipar,786320942.00
Xgeva,785725436.00
Invega Sustenna,779834172.00
Zytiga,775269249.00
Avonex Pen,768655140.00
Synagis,767786422.00
Betaseron,767648290.00
Xeloda,754133787.00
Ventolin Hfa,745629470.00
Zyvox,726184205.00
Afinitor,721629719.00
Gardasil,710208856.00
Zostavax,705140729.00
Incivek,701317408.00
Sandostatin Lar,697961265.00
Aciphex,683359951.00
Benicar Hct,681353719.00
Bystolic,681318227.00
Treanda,679052250.00
Focalin Xr,660161202.00
Erbitux,648984405.00
Tamiflu,641134799.00
Tarceva,640597157.00
Pristiq,632619542.00
Complera,630039312.00
Cubicin,628034439.00
Velcade,621800823.00
Strattera,616604042.00
Viread,599074197.00
Stribild,598844153.00
Welchol,573939710.00
Combivent Respimat,573179772.00
Xifaxan,569762570.00
