"","Covered_Recipient_Type","Teaching_Hospital_CCN","Teaching_Hospital_ID","Teaching_Hospital_Name","Recipient_Primary_Business_Street_Address_Line1","Recipient_Primary_Business_Street_Address_Line2","Recipient_City","Recipient_State","Recipient_Zip_Code","Submitting_Applicable_Manufacturer_or_Applicable_GPO_Name","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Country","Total_Amount_of_Payment_USDollars","Date_of_Payment","Number_of_Payments_Included_in_Total_Amount","Form_of_Payment_or_Transfer_of_Value","Nature_of_Payment_or_Transfer_of_Value","City_of_Travel","State_of_Travel","Country_of_Travel","Physician_Ownership_Indicator","Third_Party_Payment_Recipient_Indicator","Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value","Charity_Indicator","Third_Party_Equals_Covered_Recipient_Indicator","Contextual_Information","Delay_in_Publication_Indicator","Record_ID","Product_Indicator","Name_of_Associated_Covered_Drug_or_Biological1","Name_of_Associated_Covered_Drug_or_Biological2","Name_of_Associated_Covered_Drug_or_Biological3","Name_of_Associated_Covered_Drug_or_Biological4","Name_of_Associated_Covered_Drug_or_Biological5","NDC_of_Associated_Covered_Drug_or_Biological1","NDC_of_Associated_Covered_Drug_or_Biological2","NDC_of_Associated_Covered_Drug_or_Biological3","NDC_of_Associated_Covered_Drug_or_Biological4","NDC_of_Associated_Covered_Drug_or_Biological5","Name_of_Associated_Covered_Device_or_Medical_Supply1","Name_of_Associated_Covered_Device_or_Medical_Supply2","Name_of_Associated_Covered_Device_or_Medical_Supply3","Name_of_Associated_Covered_Device_or_Medical_Supply4","Name_of_Associated_Covered_Device_or_Medical_Supply5","address","lon","lat"
"1","Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","2","","SEATTLE","WA","98195","Roche Diagnostics Corporation",100000005419,"Roche Diagnostics Corporation","IN","United States",1672.06,"02/28/2014",1,"In-kind items and services","Education","","","","","No Third Party Payment","","No","","","No",164123002,"Covered","","","","","","","","","","","MD Virology","","","","","2, SEATTLE, WA 98195",-121.3605331,47.7116801
"2","Covered Recipient Teaching Hospital",500005,2214,"VIRGINIA MASON MEDICAL CENTER","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",750,"11/12/2014",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","","","No Third Party Payment","","","","","No",188441596,"Covered","","","","","","","","","","","Controls","","","","","925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"3","Covered Recipient Teaching Hospital",500050,2229,"SOUTHWEST WASHINGTON MEDICAL CENTER","200 NE Mother Joseph Pl Ste 400","","Vancouver","WA","98664","CareFusion Corporation",100000005545,"CareFusion Corporation","CA","United States",70.6,"10/13/2014",4,"In-kind items and services","Food and Beverage","","","","","No Third Party Payment","","","","","No",221073608,"Covered","","","","","","","","","","","Medical Systems","","","","","200 NE Mother Joseph Pl Ste 400, Vancouver, WA 98664",-122.5800895,45.6241511
"4","Covered Recipient Teaching Hospital",500025,2211,"SWEDISH MEDICAL CENTER CHERRY HILL","500 17th Ave","","Seattle","WA","98124","Actelion Pharmaceuticals US, Inc.",100000010813,"Actelion Pharmaceuticals US, Inc.","CA","United States",500,"09/24/2014",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","","","No Third Party Payment","","","","","No",195021292,"None","","","","","","","","","","","","","","","","500 17th Ave, Seattle, WA 98124",-122.3101639,47.6072783
"5","Covered Recipient Teaching Hospital",500005,2214,"VIRGINIA MASON MEDICAL CENTER","925 SENECA STREET","","SEATTLE","WA","98111","Teva Pharmaceuticals USA, Inc.",100000000141,"Teva Pharmaceuticals USA, Inc.","PA","United States",2500,"06/07/2014",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","","","No Third Party Payment","","","","","No",214253610,"None","","","","","","","","","","","","","","","","925 SENECA STREET, SEATTLE, WA 98111",-122.327633,47.6100079
"6","Covered Recipient Teaching Hospital",500005,2214,"VIRGINIA MASON MEDICAL CENTER","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",100,"04/23/2014",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","","","No Third Party Payment","","","","","No",188434629,"Covered","","","","","","","","","","","Controls","","","","","925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"7","Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","325 9TH AVE   359750","Seattle","WA","98195","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",213,"05/14/2014",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","","","No Third Party Payment","","","","","No",188440006,"Covered","","","","","","","","","","","Controls","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"8","Covered Recipient Teaching Hospital",500005,2214,"VIRGINIA MASON MEDICAL CENTER","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",98.9,"07/30/2014",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","","","No Third Party Payment","","","","","No",188440604,"Covered","","","","","","","","","","","Controls","","","","","925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"9","Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","","Seattle","WA","98195","EMD Millipore Corporation",100000005624,"EMD Millipore Corporation","MA","United States",450,"11/08/2014",1,"In-kind items and services","Gift","","","","","No Third Party Payment","","No","","","No",119187862,"Non-covered","","","","","","","","","","","","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"10","Covered Recipient Teaching Hospital",500027,2212,"SWEDISH MEDICAL CENTER","747 BROADWAY","","SEATTLE","WA","98122","Genentech, Inc.",100000000226,"Genentech USA, Inc.","CA","United States",1500,"10/21/2014",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","","","No Third Party Payment","","","","","No",208203040,"Covered","Herceptin","","","","","5024213468","","","","","","","","","","747 BROADWAY, SEATTLE, WA 98122",-122.3220878,47.6088589
"11","Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","","Seattle","WA","98195","BTG International, Inc.",100000011032,"EKOS Corporation","WA","United States",13386.98,"08/14/2014",1,"In-kind items and services","Education","","","","","No Third Party Payment","","","","","No",220839138,"Covered","","","","","","","","","","","EKOSONIC","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"12","Covered Recipient Teaching Hospital",500050,2229,"SOUTHWEST WASHINGTON MEDICAL CENTER","200 NE Mother Joseph Pl Ste 400","","Vancouver","WA","98664","KARLSTORZ Endoscopy-America",100000005515,"KARLSTORZ Endoscopy-America","CA","United States",97.02,"01/31/2014",1,"In-kind items and services","Gift","","","","","No Third Party Payment","","","","","No",218024644,"Covered","","","","","","","","","","","LAPAROSCOPY","","","","","200 NE Mother Joseph Pl Ste 400, Vancouver, WA 98664",-122.5800895,45.6241511
"13","Covered Recipient Teaching Hospital",500025,2211,"SWEDISH MEDICAL CENTER CHERRY HILL","500 17th Ave","","Seattle","WA","98124","Actelion Pharmaceuticals US, Inc.",100000010813,"Actelion Pharmaceuticals US, Inc.","CA","United States",500,"05/23/2014",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","","","No Third Party Payment","","","","","No",195021288,"None","","","","","","","","","","","","","","","","500 17th Ave, Seattle, WA 98124",-122.3101639,47.6072783
"14","Covered Recipient Teaching Hospital",500027,2212,"SWEDISH MEDICAL CENTER","747 Broadway","","Seattle","WA","98122","Intuitive Surgical, Inc.",100000005384,"Intuitive Surgical, Inc.","CA","United States",130,"07/17/2014",1,"In-kind items and services","Gift","","","","","No Third Party Payment","","","","","No",216018584,"Covered","","","","","","","","","","","Da Vinci Surgical System","","","","","747 Broadway, Seattle, WA 98122",-122.3220878,47.6088589
"15","Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","325 9TH AVE   359750","Seattle","WA","98195","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",138.05,"02/26/2014",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","","","No Third Party Payment","","","","","No",188438316,"Covered","","","","","","","","","","","Controls","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"16","Covered Recipient Teaching Hospital",500001,2217,"UW MEDICINE/NORTHWEST HOSPITAL","1550 North 115th Street","","Seattle","WA","98133","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",123.69,"07/09/2014",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","","","No Third Party Payment","","","","","No",188439520,"Covered","","","","","","","","","","","Controls","","","","","1550 North 115th Street, Seattle, WA 98133",-122.3372047,47.7146036
"17","Covered Recipient Teaching Hospital",500027,2212,"SWEDISH MEDICAL CENTER","747 Broadway","","Seattle","WA","98122","NeuroPace, Inc.",100000010697,"NeuroPace, Inc.","CA","United States",500,"12/31/2014",1,"In-kind items and services","Education","","","","","No Third Party Payment","","No","","","No",188365302,"Covered","","","","","","","","","","","RNS System","","","","","747 Broadway, Seattle, WA 98122",-122.3220878,47.6088589
"18","Covered Recipient Teaching Hospital",500141,2218,"ST FRANCIS HOSPITAL","34515 9th Ave S","","Federal Way","WA","98003","ACell, Inc.",100000046254,"ACell, Inc.","MD","United States",2700,"08/13/2014",1,"Cash or cash equivalent","Education","","","","","No Third Party Payment","","No","","","No",220166120,"None","","","","","","","","","","","","","","","","34515 9th Ave S, Federal Way, WA 98003",-122.3273579,47.2925539
"19","Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","2","","SEATTLE","WA","98105","DePuy Synthes Sales Inc.",100000005706,"DePuy Orthopaedics Inc.","IN","United States",2655.77,"08/01/2014",1,"Cash or cash equivalent","Grant","","","","","No Third Party Payment","","No","","Educational","No",136725020,"None","","","","","","","","","","","OTHER NA","","","","","2, SEATTLE, WA 98105",-122.3272747,47.6596048
"20","Covered Recipient Teaching Hospital",500005,2214,"VIRGINIA MASON MEDICAL CENTER","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",800,"07/23/2014",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","","","No Third Party Payment","","","","","No",188436426,"Covered","","","","","","","","","","","Controls","","","","","925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"21","Covered Recipient Teaching Hospital",500027,2212,"SWEDISH MEDICAL CENTER","747 BROADWAY","","SEATTLE","WA","98122","Teva Pharmaceuticals USA, Inc.",100000000141,"Teva Pharmaceuticals USA, Inc.","PA","United States",1500,"09/12/2014",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","","","No Third Party Payment","","","","","No",214253480,"None","","","","","","","","","","","","","","","","747 BROADWAY, SEATTLE, WA 98122",-122.3220878,47.6088589
"22","Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","2","","SEATTLE","WA","98105","Ipsen Bioscience Inc",100000005526,"Ipsen Bioscience Inc","MA","United States",20000,"12/17/2014",1,"Cash or cash equivalent","Royalty or License","","","","","No Third Party Payment","","No","","","No",187333882,"None","","","","","","","","","","","","","","","","2, SEATTLE, WA 98105",-122.3272747,47.6596048
"23","Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","SEATTLE CANCER CARE ALLIANCE","MAILSTOP G 3 200  ATTN  SONIA BILL","SEATTLE","WA","98109","Gilead Sciences Inc",100000000108,"Gilead Sciences Inc","CA","United States",75000,"03/18/2014",1,"Cash or cash equivalent","Grant","","","","","No Third Party Payment","","","","718546-1812661-921824-8491454-921824-8491454-Gilead SciencesGrant Award","No",155034124,"None","","","","","","","","","","","","","","","","SEATTLE CANCER CARE ALLIANCE, SEATTLE, WA 98109",-122.3456919,47.6288591
"24","Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","","Seattle","WA","98195","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",156.87,"04/16/2014",1,"Cash or cash equivalent","Royalty or License","","","","","No Third Party Payment","","","","","No",188432428,"Covered","","","","","","","","","","","Antibody","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"25","Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","","Seattle","WA","98195","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",83.5,"04/18/2014",1,"In-kind items and services","Gift","","","","","No Third Party Payment","","","","","No",188444972,"Covered","","","","","","","","","","","1D Reagents & Devices","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"26","Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","2","","SEATTLE","WA","98195","Stryker Corporation",100000010503,"Stryker Corporation","MI","United States",1452.95,"05/29/2014",1,"In-kind items and services","Gift","","","","","No Third Party Payment","","","","Loaner product exceeded 90 days.","No",179622734,"Covered","","","","","","","","","","","SURGICAL","","","","","2, SEATTLE, WA 98195",-121.3605331,47.7116801
"27","Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","","Seattle","WA","98195","Bristol-Myers Squibb Company",100000005499,"E.R. Squibb & Sons, L.L.C.","NJ","United States",1500,"03/18/2014",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","","","No Third Party Payment","","","","","No",187809270,"Covered","ORENCIA","","","","","0003218710","","","","","","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"28","Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE PACIFIC ST","","SEATTLE","WA","98195","Novartis Pharmaceuticals Corporation",100000000228,"Novartis Pharmaceuticals Corporation","NJ","United States",3000,"09/23/2014",1,"Cash or cash equivalent","Grant","","","","","No Third Party Payment","","No","","","No",152703998,"None","NON BRAND","","","","","","","","","","","","","","","1959 NE PACIFIC ST, SEATTLE, WA 98195",-122.3091341,47.6506935
