Drug.Name,Monthly.Prescriptions
Synthroid,"22,664,826"
Crestor,"22,557,735"
Nexium,"18,656,464"
Ventolin HFA,"17,556,646"
Advair Diskus,"15,003,169"
Diovan,"11,401,503"
Lantus Solostar,"10,154,739"
Cymbalta,"10,065,788"
Vyvanse,"10,019,178"
Lyrica,"9,684,884"
Spiriva Handihaler,"9,518,849"
Lantus,"9,358,961"
Celebrex,"8,815,391"
Abilify,"8,777,842"
Januvia,"8,758,309"
Namenda,"7,640,319"
Viagra,"7,584,152"
Cialis,"7,555,933"
Zetia,"7,411,629"
Nasonex,"7,304,210"
Suboxone,"7,011,882"
Symbicort,"6,948,403"
Bystolic,"6,722,578"
Flovent HFA,"5,623,533"
Oxycontin,"5,559,330"
Levemir,"5,554,827"
Xarelto,"5,014,364"
Nuvaring,"5,011,966"
Dexilant,"4,866,178"
Thyroid,"4,834,481"
Benicar,"4,725,628"
Voltaren Gel,"4,709,766"
Proventil HFA,"4,494,004"
Tamiflu,"4,149,835"
Novolog,"4,044,310"
Novolog Flexpen,"4,006,690"
Premarin,"3,984,357"
Vesicare,"3,873,046"
Humalog,"3,858,256"
Benicar HCT,"3,633,026"
Lumigan,"3,283,060"
Afluria,"3,242,605"
Lo Loestrin Fe,"3,154,488"
Janumet,"3,089,749"
Ortho-Tri-Cy Lo 28,"3,053,738"
Toprol-XL,"3,044,003"
Pristiq,"3,023,546"
Combivent Respimat,"2,994,490"
Vytorin,"2,988,460"
Travatan Z,"2,919,358"
Focalin XR,"2,866,278"
Pataday,"2,757,094"
Humalog Kwikpen,"2,626,530"
Lunesta,"2,590,519"
Avodart,"2,527,583"
Pradaxa,"2,442,678"
Seroquel XR,"2,405,130"
Strattera,"2,387,756"
Minastrin 24 Fe,"2,353,282"
Evista,"2,232,555"
Chantix,"2,151,879"
Zostavax,"2,145,562"
Humira,"1,923,427"
Victoza 3-Pak,"1,902,995"
Exelon,"1,877,942"
Exforge,"1,838,730"
Combigan,"1,821,491"
Dulera,"1,790,677"
Onglyza,"1,784,018"
Welchol,"1,778,218"
Premarin Vaginal,"1,718,405"
Enbrel,"1,627,480"
Xopenex HFA,"1,588,895"
Ranexa,"1,567,961"
Truvada,"1,532,734"
Alphagan P,"1,503,194"
Viibryd,"1,447,730"
Tradjenta,"1,443,791"
Effient,"1,434,572"
Azor,"1,433,045"
Norvir,"1,384,306"
Actonel,"1,339,615"
Namenda XR,"1,319,963"
Amitiza,"1,309,980"
Aggrenox,"1,286,826"
Lotemax,"1,276,480"
Patanol,"1,274,050"
Levitra,"1,273,311"
Advair HFA,"1,272,551"
Uloric,"1,244,536"
Detrol La,"1,225,506"
Asmanex Twisthaler,"1,219,112"
Lipitor,"1,212,376"
Atripla,"1,183,636"
Prempro Low Dose,"1,162,513"
Latuda,"1,123,396"
Novolog Flxpen Mix 70/30,"1,119,855"
Invokana,"1,106,268"
Epiduo,"1,103,330"
Humulin N,"1,071,673"
